ID,lat,lon,ele,time,name
108,43.94359396,-71.73434998,533.306885,2022-06-02T14:29:23Z,GGRA 02VI22 3
109,43.94380904,-71.73432098,533.813721,2022-06-02T14:34:30Z,GGRA 02VI22 4
110,43.94374198,-71.73367498,533.471802,2022-07-05T12:44:11Z,GGRA 05VII22 1
111,43.94452502,-71.73427203,549.026917,2022-07-05T13:13:38Z,GGRA 05VII22 2
112,43.94478201,-71.73470403,555.806763,2022-07-05T13:16:00Z,GGRA 05VII22 3
113,43.94463398,-71.734454,550.787781,2022-07-05T13:14:42Z,GGRA 05VII22 4
114,43.94495099,-71.73507401,561.565857,2022-07-05T13:20:50Z,GGRA 05VII22 5
115,43.94415303,-71.73450898,551.625366,2022-07-05T13:29:20Z,GGRA 05VII22 6
116,43.94408799,-71.73381999,545.932739,2022-07-05T13:37:08Z,GGRA 05VII22 7
117,43.94358801,-71.73342302,535.626282,2022-07-05T13:46:36Z,GGRA 05VII22 8
118,43.94401104,-71.73376903,544.061829,2022-07-07T13:41:51Z,GGRA 07VII22 1
119,43.94399998,-71.73369502,548.131104,2022-07-07T14:01:12Z,GGRA 07VII22 2
120,43.94428002,-71.73391303,551.311646,2022-07-07T14:04:56Z,GGRA 07VII22 3
121,43.94419704,-71.73450496,556.478088,2022-07-07T14:11:35Z,GGRA 07VII22 4
122,43.94404801,-71.73348304,549.668396,2022-07-07T14:27:13Z,GGRA 07VII22 5
123,43.94378699,-71.73362897,543.782471,2022-07-10T13:40:21Z,GGRA 10VII22 1
124,43.94406804,-71.73400196,552.340881,2022-07-11T14:14:44Z,GGRA 11VII22 1
125,43.944824,-71.73458903,561.447449,2022-07-11T14:48:13Z,GGRA 11VII22 2
126,43.94356303,-71.73537198,545.409241,2022-06-16T12:18:06Z,GGRA 16VI22 1
127,43.94330897,-71.73512103,543.305603,2022-06-16T12:19:40Z,GGRA 16VI22 2
128,43.94356797,-71.73520803,544.108276,2022-06-19T11:43:48Z,GGRA 19VI22 1
129,43.94379001,-71.73461904,556.497681,2022-05-27T11:10:28Z,GGRA 27V22 1
130,43.94405496,-71.73374204,537.662415,2022-06-28T13:30:20Z,GGRA 28VI22 1
131,43.94376998,-71.73407497,549.830811,2022-06-28T15:11:10Z,GGRA 28VI22 2
132,43.94475703,-71.73289002,532.197266,2022-05-29T11:31:48Z,GGRA 29V22 1
133,43.94399696,-71.73390197,548.633972,2022-06-05T13:13:51Z,GGRA 5VI22 1
134,43.94317604,-71.733908,529.556885,2022-06-10T12:02:43Z,GGRA? 10VI22 1
135,43.94356001,-71.73401504,539.459778,2022-06-10T12:04:34Z,GGRA? 10VI22 2
136,43.94571198,-71.73865199,584.720764,2022-07-01T12:10:34Z,GKGA 1VII22 1
137,43.94513296,-71.73817799,574.143921,2022-07-01T12:16:41Z,GKGA 1VII22 2
138,43.945414,-71.73834002,584.690063,2022-07-01T11:09:43Z,GKGA 1VII22 3
139,43.94595103,-71.73850003,591.089111,2022-07-03T15:20:40Z,GKGA 3VII22 1
140,43.94379102,-71.74429301,628.229065,2022-06-30T14:52:56Z,GOGA + FLEDGIE 30VI22 1
141,43.94195203,-71.74445503,607.197571,2022-07-12T12:27:52Z,GOGA 12VII22 1
142,43.94224003,-71.74459401,607.801147,2022-07-12T12:29:30Z,GOGA 12VII22 2
143,43.94421497,-71.744046,622.803711,2022-07-01T15:14:09Z,GOGA 1VII22 1
144,43.94382597,-71.74271403,594.822632,2022-06-23T14:49:13Z,GOGA 23VI22 1
145,43.94286599,-71.742623,593.697083,2022-06-27T18:31:59Z,GOGA 27VI22 1
146,43.94309004,-71.743285,608.792053,2022-07-03T15:09:36Z,GOGA 3VII22 1
147,43.94297504,-71.74253298,598.055237,2022-07-05T14:15:43Z,GOGA 5VII22 1
148,43.94280396,-71.74207198,592.877075,2022-07-05T14:37:56Z,GOGA 5VII22 2
149,43.94229703,-71.742652,591.550049,2022-06-06T11:57:29Z,GOGA 6VI22 1
150,43.94328902,-71.74296599,599.923828,2022-07-09T13:15:07Z,GOGA 9VII22 1
151,43.94340503,-71.73361497,522.667297,2022-06-07T14:05:30Z,GRRA 7VI22 1
152,43.94772003,-71.74636703,648.554077,2022-07-09T15:36:55Z,GRYA 9VII22 1
153,43.94421799,-71.74154098,580.513611,2022-06-27T18:50:30Z,GWBA 27VI22 1
154,43.944377,-71.743026,592.771667,2022-07-03T12:24:01Z,GWBA 3VII22 1
155,43.944392,-71.74277899,593.398682,2022-07-05T12:14:01Z,GWBA 5VII22 1
156,43.94437398,-71.742205,586.741394,2022-07-05T12:01:46Z,GWBA 5VII22 2
157,43.94449602,-71.74313103,603.528625,2022-07-07T13:20:23Z,GWBA 7VII22 1
158,43.94444598,-71.74291302,599.900269,2022-07-07T15:41:13Z,GWBA 7VII22 2
159,43.94018697,-71.73418896,511.617279,2022-06-12T11:43:59Z,GWKA 12VI22 1
160,43.94221799,-71.72893996,483.620605,2022-06-21T16:41:00Z,GYRA 21VI22 1
161,43.94249903,-71.73746604,548.579041,2022-07-09T12:05:40Z,KARP 9VII22 1
162,43.94280002,-71.73750099,548.871643,2022-07-09T12:10:46Z,KARP 9VII22 2
163,43.94308903,-71.74637097,621.874084,2022-05-31T12:56:48Z,KBBA 31V22 1
164,43.94812999,-71.745096,628.32251,2022-07-11T13:30:06Z,KBKA 11VII22 1
165,43.947815,-71.74525098,631.447205,2022-07-11T13:35:43Z,KBKA 11VII22 2
166,43.94726004,-71.74518996,630.55304,2022-07-11T13:47:13Z,KBKA 11VII22 3
167,43.94701302,-71.74503498,632.511719,2022-07-11T14:11:18Z,KBKA 11VII22 4
168,43.94757503,-71.74546799,628.065552,2022-06-12T12:29:17Z,KBKA 12VI22 1
169,43.94746296,-71.74495501,616.254211,2022-07-12T12:23:23Z,KBKA 12VII22 1
170,43.94801399,-71.74388004,606.30603,2022-06-15T13:45:17Z,KBKA 15VI22 1
171,43.94774401,-71.745183,625.558716,2022-07-01T13:44:32Z,KBKA 1VII22 1
172,43.94821004,-71.74572799,633.990051,2022-07-01T13:57:45Z,KBKA 1VII22 2
173,43.947844,-71.74413904,607.390442,2022-06-20T11:28:10Z,KBKA 20VI22 1
174,43.94780603,-71.74417198,607.348877,2022-06-20T11:27:24Z,KBKA 20VI22 2
175,43.94876903,-71.74532499,629.810791,2022-05-21T13:01:35Z,KBKA 21V22 1
176,43.94866602,-71.74587501,637.411194,2022-05-21T13:12:45Z,KBKA 21V22 2
177,43.94729901,-71.74483004,615.913391,2022-06-21T13:40:00Z,KBKA 21VI22 1
178,43.947053,-71.74468101,616.494751,2022-06-21T13:51:12Z,KBKA 21VI22 2
179,43.94782598,-71.74524503,627.551086,2022-05-22T14:42:18Z,KBKA 22V22 1
180,43.94819998,-71.74541904,620.888,2022-05-29T13:12:11Z,KBKA 29V22 1
181,43.94721201,-71.74533899,631.702454,2022-07-03T15:42:55Z,KBKA 3VII22 1
182,43.94760604,-71.74551903,635.577209,2022-07-03T15:47:00Z,KBKA 3VII22 2
183,43.94750403,-71.74545701,627.084961,2022-07-05T11:52:50Z,KBKA 5VII22 1
184,43.94763999,-71.74386897,607.487427,2022-07-05T12:03:08Z,KBKA 5VII22 2
185,43.94701302,-71.74567301,625.096191,2022-07-06T12:00:55Z,KBKA 6VII22 1
186,43.94682099,-71.74609596,630.064575,2022-07-06T12:03:41Z,KBKA 6VII22 2
187,43.94792296,-71.74523598,625.121094,2022-06-07T15:16:36Z,KBKA 7VI22 1
188,43.94795003,-71.74494001,632.141479,2022-06-08T17:06:55Z,KBKA 8VI22 1
189,43.946809,-71.74569002,626.034302,2022-07-09T12:19:55Z,KBKA 9VII22 1
190,43.94693004,-71.74511896,619.610474,2022-05-17T12:53:27Z,KBKA_17V22_1
191,43.94705401,-71.74528602,623.10376,2022-05-17T12:58:08Z,KBKA_17V22_2
192,43.94257598,-71.69543498,178.953491,2022-05-23T09:59:25Z,KBWA 23V22 1
193,43.94968299,-71.73548497,541.400879,2022-05-23T10:46:09Z,KBWA 23V22 2
194,43.94940597,-71.73530702,540.819336,2022-05-23T10:54:49Z,KBWA 23V22 3
195,43.949613,-71.73561699,554.7099,2022-05-23T10:57:11Z,KBWA 23V22 4
196,43.94966899,-71.73578597,557.230957,2022-05-23T10:58:38Z,KBWA 23V22 5
197,43.94974703,-71.73640497,564.839783,2022-05-23T11:39:40Z,KBWA 23V22 6
198,43.94955802,-71.73516897,546.370544,2022-05-23T13:36:29Z,KBWA 23V22 7
199,43.94944101,-71.734885,506.613159,2022-05-24T10:34:51Z,KBWA 24V22 1
200,43.94965902,-71.73557801,532.670837,2022-05-24T10:46:00Z,KBWA 24V22 2
201,43.949124,-71.73504903,536.679443,2022-05-25T17:51:09Z,KBWA 25V22 1
202,43.94941502,-71.73512396,533.959351,2022-05-25T17:53:19Z,KBWA 25V22 2
